,Code,Title,Credits,ResidentPrerequisites,OnlinePrerequisites,RegistrationRestrictions,Offered,Notes
0,ASCS 100,Foundations for Academic Success,3,,,,Online,
1,ASCS 101,Theory for Academic Success,1,,,,Residential and Online,
2,ASCS 103,Practical Application for Academic Success,1,,,,Residential,
3,ASCS 104,College Transition and Study,3,,,,Residential,
4,ASCS 105,Accountability for Academic Success,1,,,,Residential,
5,ASCS 301,Soft Skills Training for Employment Success,1,,,,Residential and Online,
6,ACCT 209,Survey of Accounting and Finance,3,,,,Residential and Online,
7,ACCT 211,Financial Principles,3,,,Residential students are only able to take this course residentially,Residential and Online,
8,ACCT 212,Managerial Principles,3,([ACCT 211]),,,Residential and Online,
9,ACCT 299,Internship,0,,,"Sophomore status, 2.00 GPA, two courses in major, declared major, not more than one CSER behind",Residential,
10,ACCT 301,Intermediate Financial Accounting I,3,([ACCT 212]),,,Residential and Online,
11,ACCT 302,Intermediate Financial Accounting II,3,([ACCT 301]),,,Residential and Online,
12,ACCT 311,Corporate Accounting,3,([ACCT 212]),,,Residential and Online,
13,ACCT 332,Accounting and Control,3,([ACCT 301] and [BUSI 201]),,,Residential and Online,
14,ACCT 340,Accounting Ethics,3,,([ACCT 212]),,Online,
15,ACCT 350,Accounting Ethics and Professional Responsibility,3,([ACCT 212]),,Residential students are only able to take this course residentially,Residential,
16,ACCT 370,Financial Statement Analysis,3,([ACCT 212]),,,Residential and Online,
17,ACCT 401,Individual Taxation,3,([ACCT 212]),,,Residential and Online,
18,ACCT 402,Consolidations and Advanced Accounting Topics,3,([ACCT 302]),,,Residential and Online,
19,ACCT 403,Fund Accounting for Government and Not for Profits,3,([ACCT 402]),,,Residential and Online,
20,ACCT 404,Assurance and Attestation,3,([ACCT 302]),,,Residential and Online,
21,ACCT 406,Principles of Forensic Accounting,3,([ACCT 404]),,,Residential and Online,
22,ACCT 409,Financial Reporting for Nonprofit Entities,3,([BUSI 320]),,,Residential,
23,ACCT 412,Corporate/Partnership/Estate Taxation,3,([ACCT 401]),,,Residential and Online,
24,ACCT 432,IT Audit,3,,([ACCT 332] and [ACCT 404]),,Online,
25,ACCT 470,Advanced Data Analysis and Reporting,3,([ACCT 332]),,,Residential and Online,
26,ACCT 495,Directed Research,1-3,,,Written permission of department chair and consent of instructor,,
27,ACCT 497,Special Topics in Accounting,1-3,,,,,
28,ACCT 499,Internships,1-6,,,Junior or Senior standing; required GPA,Residential and Online,
29,AIRS 001,Leadership Laboratory,0,,,,Residential,
30,AIRS 110,Heritage and Values I,1,,,,Residential,
31,AIRS 120,Heritage and Values II,1,,,,Residential,
32,AIRS 210,Team and Leadership Fundamentals I,1,,,,Residential,
33,AIRS 220,Team and Leadership Fundamentals II,1,,,,Residential,
34,AIRS 310,Leading People and Effective Communication I,3,,,,Residential,
35,AIRS 320,Leading People and Effective Communication II,3,,,,Residential,
36,AIRS 410,National Security/Commissioning Preparation I,3,,,,Residential,
37,AIRS 420,National Security/Commissioning Preparation II,3,,,,Residential,
38,ASLI 101,American Sign Language I,3,,,,Residential,
39,ASLI 102,American Sign Language II,3,([ASLI 101]),,,Residential,
40,ASLI 201,American Sign Language III,3,([ASLI 102]),,,Residential,
41,ASLI 202,American Sign Language IV,3,([ASLI 201]),,,Residential,
42,ASLI 212,Theory and Application of Fingerspelling and Numbers,3,([ASLI 102]),,,Residential,
43,ASLI 302,American Sign Language V,3,([ASLI 202]),,,Residential,
44,ASLI 310,Deaf Studies,3,,,,Residential,
45,ASLI 313,Introduction to Interpreting,3,([ASLI 201] and [ASLI 310]{concurrent}),,,Residential,
46,ASLI 317,American Sign Language for Interpreters,3,([ASLI 302] and [ASLI 313]),,,Residential,
47,ASLI 320,Sociocultural Linguistic Processing,3,([ASLI 313]),,,Residential,
48,ASLI 401,English to ASL Interpreting I,3,([ASLI 302] and [ASLI 320]),,,Residential,
49,ASLI 402,English to ASL Interpreting II,3,([ASLI 302] and [ASLI 401]),,,Residential,
50,ASLI 403,ASL to English Interpreting I,3,([ASLI 302] and [ASLI 320]),,,Residential,
51,ASLI 404,ASL to English Interpreting II,3,([ASLI 403]),,,Residential,
52,ASLI 405,ASL Linguistics,3,([ASLI 302] and ([LING 213] or [LING 301])),,,Residential,
53,ASLI 410,"Interpreter Professional Identities, Function & Ethics and Current Trends",3,([ASLI 310] and [ASLI 313] and [ASLI 320] and ([RSCH 201] or Inquiry Research with a score of 80 or Research Assessment with a score of 80 or Research (prior to 2017-2018) with a score of 80)),,,Residential,
54,ASLI 498,Practicum,3,([ASLI 403] and [ASLI 404] and [ASLI 410] and VQAS Written Exam with a score of 5),,,Residential,
55,ASLI 499,Internship,3,([ASLI 498] and [ASLI 405] and VQAS Performance Exam with a score of 5),,,Residential,
56,APOL 120,Apologetics,3,,,,Online,Willmington School of the Bible course
57,APOL 201,Apologetics and Cultural Engagement,3,,,,Residential,
58,APOL 220,Introduction to Apologetics,3,,,,Online,
59,APOL 250,"Faith, Reason, and the Search for Meaning",3,,,,Residential,
60,APOL 310,Apologetics in a Secular Age,3,,([APOL 220]),,Online,
61,APOL 311,Foundational Issues in Apologetics,3,([APOL 201]),,,Residential,
62,APOL 320,Apologetics and the Gospel,3,,([APOL 220]),,Online,
63,APOL 325,Christianity and the Cults,3,,,,Residential,
64,APOL 330,C.S. Lewis and the Apologetic Imagination,3,,([APOL 220]),,Online,
65,APOL 431,Introduction to Islam,3,,,,Residential,
66,APOL 480,Biblical Studies and Apologetics,3,([APOL 201]),,,Residential,
67,APOL 497,Special Topics in Apologetics,"1,3",,,,Residential,
68,ARAB 101,Elementary Arabic I,3,,,,Residential,
69,ARAB 102,Elementary Arabic II,3,([ARAB 101]),,,Residential,
70,ARAB 201,Intermediate Arabic I,3,([ARAB 102]),,,Residential,
71,ARAB 202,Intermediate Arabic II,3,([ARAB 201]),,,Residential,
72,ARAB 301,Advanced Conversation and Composition I,3,([ARAB 202]),,,Residential,
73,ARAB 302,Advanced Conversation and Composition II,3,([ARAB 301]),,,Residential,
74,ATTR 205,Musculoskeletal Terminology and Clinical Documentation,2,,,,Residential,
75,ATTR 330,Clinical Musculoskeletal Anatomy,3,([BIOL 213] and [BIOL 214] and [BIOL 215] and [BIOL 216]),,,Residential,
