,0
0,ASCS
1,ACCT
2,AIRS
3,ASLI
4,APOL
5,ARAB
6,ATTR
7,ATHL
8,AVIA
9,AVMX
10,AVMT
11,BCOU
12,BIBL
13,BWVW
14,BCHM
15,BIOL
16,BUSI
17,CARP
18,CHEM
19,CHIN
20,CCOU
21,CLCM
22,CLED
23,CHHI
24,CHMN
25,CINE
26,ENGV
27,CLST
28,CMUS
29,COMS
30,ENGC
31,CSCN
32,CSIS
33,CARA
34,CSMA
35,CFRE
36,CGRM
37,CHND
38,CSPA
39,CRFT
40,CRST
41,CJUS
42,CRIS
43,CSTU
44,DMCA
45,DIGI
46,DBFA
47,DBMF
48,DBPC
49,ESLP
50,ECON
51,EDUC
52,EDGT
53,EDSC
54,EDST
55,ELTC
56,ENGE
57,EMER
58,ENGL
59,ESOL
60,ENVR
61,ETHC
62,ETHM
63,EVAN
64,EMGT
65,EXSC
66,FACS
67,FNLT
68,FIRE
69,FREN
70,GBST
71,ENGR
72,GEOG
73,GRMN
74,GLST
75,GOVT
76,GREK
77,HLTH
78,HSCI
79,HVAC
80,HBRW
81,HIST
82,HIEU
83,HIUS
84,HIWD
85,HONR
86,HMGT
87,HSER
88,ENGI
89,INFO
90,INFT
91,INQR
92,INDS
93,JOUR
94,LEAD
95,LIFC
96,LING
97,MATH
98,ENGM
99,AMOA
100,MENT
101,MILT
102,MISC
103,MLAN
104,MUSC
105,NASC
106,NURS
107,PLST
108,PLED
109,PHIL
110,PHED
111,PHSC
112,PHYS
113,PLMB
114,PRTH
115,PSYC
116,PADM
117,RMGT
118,RLGN
119,RLST
120,RSCH
121,RESP
122,RUSS
123,GUNS
124,SOWK
125,SOCI
126,SPAN
127,COSP
128,EDSP
129,SCOM
130,SMGT
131,SETM
132,STAT
133,STCO
134,STRG
135,ARTS
136,TESL
137,THEA
138,THEO
139,TOUR
140,UNIV
141,WELD
142,WLED
143,WMUS
144,WRSP
145,WRIT
146,YOUT
